วันที่,จำนวนคนตาย,จำนวนคนบาดเจ็บ,,,,,,,,,,,,,,,,,
2017-03-22,32,2680,,,,,,,,,,,,,,,,,
2017-03-23,43,2655,,,,,,,,,,,,,,,,,
2017-03-24,54,2575,,,,,,,,,,,,,,,,,
2017-03-25,12,1470,,,,,,,,,,,,,,,,,
2017-03-26,24,3328,,,,,,,,,,,,,,,,,
2017-03-27,62,3281,,,,,,,,,,,,,,,,,
2017-03-28,44,2712,,,,,,,,,,,,,,,,,
2017-03-29,45,2591,,,,,,,,,,,,,,,,,
2017-03-30,39,2539,,,,,,,,,,,,,,,,,
2017-03-31,50,2788,,,,,,,,,,,,,,,,,
2017-04-01,25,2171,,,,,,,,,,,,,,,,,
2017-04-02,24,2535,,,,,,,,,,,,,,,,,
2017-04-03,53,3132,,,,,,,,,,,,,,,,,
2017-04-04,48,2757,,,,,,,,,,,,,,,,,
2017-04-05,42,2738,,,,,,,,,,,,,,,,,
2017-04-06,25,1959,,,,,,,,,,,,,,,,,
2017-04-07,53,2501,,,,,,,,,,,,,,,,,
2017-04-08,18,2039,,,,,,,,,,,,,,,,,
2017-04-09,28,2128,,,,,,,,,,,,,,,,,
2017-04-10,89,3158,,,,,,,,,,,,,,,,,
2017-04-11,71,3036,,,,,,,,,,,,,,,,,
2017-04-12,71,3632,,,,,,,,,,,,,,,,,
2017-04-13,76,4103,,,,,,,,,,,,,,,,,
2017-04-14,94,4104,,,,,,,,,,,,,,,,,
2017-04-15,76,3440,,,,,,,,,,,,,,,,,
2017-04-16,66,2974,,,,,,,,,,,,,,,,,
2017-04-17,70,2647,,,,,,,,,,,,,,,,,
2017-04-18,54,2689,,,,,,,,,,,,,,,,,
2017-04-19,39,2470,,,,,,,,,,,,,,,,,
